epoch,steps,train_loss,train_psnr,best_train_psnr,train_ssim,best_train_ssim,val_loss,val_psnr,best_val_psnr,val_ssim,best_val_ssim
211,2744,0.0215270254015922,32.94,33.83,0.8875,0.9034,0.0221613962203264,30.33,30.33,0.8469,0.8477
212,2757,0.0254192418605089,31.85,33.83,0.8576,0.9034,0.0218341941013932,30.29,30.33,0.8446,0.8477
213,2770,0.0270132190734148,31.01,33.83,0.8419,0.9034,0.0235795674845576,30.05,30.33,0.8434,0.8477
214,2783,0.0272909620404243,30.64,33.83,0.8408,0.9034,0.0237374301999807,29.85,30.33,0.8456,0.8477
215,2796,0.0277444925904273,30.37,33.83,0.8368,0.9034,0.0220696775242686,30.05,30.33,0.8463,0.8477
216,2809,0.0239162989705801,31.7,33.83,0.862,0.9034,0.0209354629740118,30.36,30.36,0.8477,0.8477
217,2822,0.0247734206169843,31.99,33.83,0.8642,0.9034,0.0228870376944541,30.07,30.36,0.8465,0.8477
218,2835,0.0264394095540046,30.93,33.83,0.8518,0.9034,0.0250367572531104,29.61,30.36,0.8473,0.8477
219,2848,0.026512005329132,31.46,33.83,0.8526,0.9034,0.0237747490406036,29.66,30.36,0.8468,0.8477
220,2861,0.0252957497537136,31.54,33.83,0.8654,0.9034,0.0230583133175969,29.76,30.36,0.8476,0.8477
221,2874,0.0243841528892517,31.88,33.83,0.8669,0.9034,0.0221107427030801,29.97,30.36,0.8464,0.8477
222,2887,0.0254175789654254,31.38,33.83,0.8473,0.9034,0.0224558027461171,30.23,30.36,0.8476,0.8477
223,2900,0.0220130709558725,32.99,33.83,0.8977,0.9034,0.0234176689758896,30.35,30.36,0.8475,0.8477
224,2913,0.0216660056263208,33.0,33.83,0.8874,0.9034,0.0233362002298235,30.14,30.36,0.848,0.848
225,2926,0.026474820151925,31.62,33.83,0.8521,0.9034,0.023508058860898,30.1,30.36,0.8474,0.848
226,2939,0.0263521718606352,31.86,33.83,0.856,0.9034,0.0267524309456348,30.34,30.36,0.8482,0.8482
227,2952,0.0233954568207263,33.44,33.83,0.8992,0.9034,0.024258348159492,30.13,30.36,0.848,0.8482
228,2965,0.0295039162039756,30.79,33.83,0.8532,0.9034,0.0285210091620683,30.16,30.36,0.8478,0.8482
229,2978,0.0253469947725534,32.84,33.83,0.8835,0.9034,0.0236152803525328,30.23,30.36,0.8481,0.8482
230,2991,0.0255714159458875,31.27,33.83,0.8655,0.9034,0.0236393216997385,29.57,30.36,0.8484,0.8484
231,3001,0.0271154003217816,31.24,33.83,0.8632,0.9034,0.0217540493234992,30.26,30.36,0.8478,0.8484
